season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2016,1,,Broncos,21,20,Panthers
2016,1,,Titans,16,25,Vikings
2016,1,,Eagles,29,10,Browns
2016,1,,Chiefs,33,27,Chargers
2016,1,,Falcons,24,31,Buccaneers
2016,1,,Jaguars,23,27,Packers
2016,1,,Cowboys,19,20,Giants
2016,1,,Cardinals,21,23,Patriots
2016,1,,Redskins,16,38,Steelers
2016,1,,Texans,23,14,Bears
2016,1,,Ravens,13,7,Bills
2016,1,,Saints,34,35,Raiders
2016,1,,Jets,22,23,Bengals
2016,1,,Seahawks,12,10,Dolphins
2016,1,,Colts,35,39,Lions
2016,1,,49ers,28,0,Rams
2016,2,,Bills,37,31,Jets
2016,2,,Giants,16,13,Saints
2016,2,,Redskins,23,27,Cowboys
2016,2,,Patriots,31,24,Dolphins
2016,2,,Panthers,46,27,49ers
2016,2,,Cardinals,40,7,Buccaneers
2016,2,,Raiders,28,35,Falcons
2016,2,,Broncos,34,20,Colts
2016,2,,Bears,14,29,Eagles
2016,2,,Lions,15,16,Titans
2016,2,,Texans,19,12,Chiefs
2016,2,,Browns,20,25,Ravens
2016,2,,Steelers,24,16,Bengals
2016,2,,Rams,9,3,Seahawks
2016,2,,Chargers,38,14,Jaguars
2016,2,,Vikings,17,14,Packers
2016,3,,Patriots,27,0,Texans
2016,3,,Jaguars,17,19,Ravens
2016,3,,Packers,34,27,Lions
2016,3,,Panthers,10,22,Vikings
2016,3,,Bills,33,18,Cardinals
2016,3,,Buccaneers,32,37,Rams
2016,3,,Eagles,34,3,Steelers
2016,3,,Colts,26,22,Chargers
2016,3,,Saints,45,32,Falcons
2016,3,,Giants,27,29,Redskins
2016,3,,Dolphins,30,24,Browns
2016,3,,Broncos,17,19,Bengals
2016,3,,Titans,10,17,Raiders
2016,3,,Seahawks,37,18,49ers
2016,3,,Chiefs,24,3,Jets
2016,3,,Cowboys,31,17,Bears
