Season,Team,+/-
1978,Oilers,-2
1978,Broncos,18
1978,Vikings,-10
1978,Bears,29
1978,Falcons,-12
1978,Saints,-11
1978,Chargers,-10
1978,Raiders,18
1978,Lions,-17
1978,Browns,28
1978,Eagles,0
1978,Steelers,47
1978,Giants,12
1978,Buccaneers,-8
1978,Cardinals,-35
1978,Bengals,-29
1978,Chiefs,-18
1978,Redskins,25
1978,Jets,7
1978,Colts,-73
1978,Packers,-8
1978,Dolphins,36
1978,Rams,25
1978,Bills,-19
1978,49ers,-21
1978,Patriots,1
1978,Cowboys,35
1978,Seahawks,-8
1979,Oilers,-15
1979,Broncos,9
1979,Vikings,-28
1979,Bears,18
1979,Falcons,7
1979,Saints,-27
1979,Chargers,45
1979,Raiders,-30
1979,Lions,-39
1979,Eagles,14
1979,Browns,9
1979,Steelers,37
1979,Giants,-46
1979,Buccaneers,29
1979,Cardinals,9
1979,Bengals,-43
1979,Chiefs,-3
1979,Redskins,28
1979,Jets,-35
1979,Colts,-20
1979,Packers,-5
1979,Dolphins,26
1979,Rams,0
1979,Bills,17
1979,49ers,-17
1979,Patriots,56
1979,Cowboys,13
1979,Seahawks,-9
1980,Oilers,0
1980,Raiders,10
1980,Vikings,-14
1980,Bears,-7
1980,Falcons,12
1980,Saints,-31
1980,Chargers,44
1980,Broncos,-17
1980,Lions,56
1980,Eagles,88
1980,Browns,-19
1980,Steelers,15
1980,Giants,-28
1980,Buccaneers,-5
1980,Cardinals,-22
1980,Bengals,-4
1980,Chiefs,-21
1980,Seahawks,-26
1980,Jets,-23
1980,Colts,-5
1980,Packers,-46
1980,Dolphins,-6
1980,Rams,8
1980,Bills,29
1980,49ers,16
1980,Patriots,7
1980,Cowboys,4
1980,Redskins,-15
1981,Oilers,7
1981,Broncos,17
1981,Vikings,-32
1981,Bears,-7
1981,Falcons,58
1981,Saints,-34
1981,Chargers,46
1981,Raiders,34
1981,Lions,0
1981,Browns,-33
1981,Eagles,30
1981,Steelers,4
1981,Giants,9
1981,Buccaneers,-12
1981,Cardinals,-16
1981,Bengals,4
1981,Chiefs,2
1981,Seahawks,-13
1981,Jets,-60
1981,Colts,-49
1981,Packers,-19
1981,Dolphins,39
1981,Rams,-1
1981,Bills,57
1981,49ers,-13
1981,Patriots,-25
1981,Cowboys,43
1981,Redskins,-36
1982,Oilers,-19
1982,Raiders,30
1982,Vikings,6
1982,Bears,-17
1982,Falcons,-22
1982,Saints,-4
1982,Chargers,13
1982,Broncos,-17
1982,Lions,12
1982,Browns,11
1982,Eagles,0
1982,Steelers,14
1982,Giants,-10
1982,Buccaneers,-15
1982,Cardinals,-3
1982,Bengals,15
1982,Chiefs,2
1982,Redskins,11
1982,Jets,7
1982,Colts,-15
1982,Packers,20
1982,Dolphins,21
1982,Rams,-17
1982,Bills,6
1982,49ers,-9
1982,Patriots,-13
1982,Cowboys,9
1982,Seahawks,-16
1983,Oilers,-29
1983,Raiders,37
1983,Vikings,-22
1983,Bears,1
1983,Falcons,16
1983,Saints,11
1983,Chargers,-12
1983,Broncos,8
1983,Lions,-10
1983,Eagles,-2
1983,Browns,9
1983,Steelers,12
1983,Giants,-22
1983,Buccaneers,-21
1983,Cardinals,-43
1983,Bengals,-24
1983,Chiefs,-14
1983,Seahawks,6
1983,Jets,-5
1983,Colts,-6
1983,Packers,2
1983,Dolphins,9
1983,Rams,10
1983,Bills,-3
1983,49ers,41
1983,Patriots,-6
1983,Cowboys,33
1983,Redskins,24
1984,Oilers,-41
1984,Broncos,-14
1984,Vikings,-24
1984,Bears,49
1984,Falcons,-2
1984,Saints,-14
1984,Chargers,32
1984,Raiders,33
1984,Lions,-4
1984,Browns,-46
1984,Eagles,-5
1984,Steelers,6
1984,Giants,6
1984,Buccaneers,-20
1984,Cardinals,30
1984,Bengals,-28
1984,Chiefs,13
1984,Redskins,-8
1984,Jets,23
1984,Colts,4
1984,Packers,-22
1984,Dolphins,43
1984,Rams,-14
1984,Bills,-38
1984,49ers,19
1984,Patriots,-2
1984,Cowboys,-8
1984,Seahawks,32
1985,Oilers,-20
1985,Raiders,-9
1985,Vikings,13
1985,Bears,32
1985,Falcons,-36
1985,Saints,-24
1985,Chargers,-6
1985,Broncos,23
1985,Lions,-2
1985,Browns,-6
1985,Eagles,-19
1985,Steelers,52
1985,Giants,28
1985,Buccaneers,-32
1985,Cardinals,7
1985,Bengals,-21
1985,Chiefs,5
1985,Seahawks,7
1985,Jets,29
1985,Colts,-51
1985,Packers,-24
1985,Dolphins,45
1985,Rams,26
1985,Bills,-47
1985,49ers,36
1985,Patriots,-4
1985,Cowboys,38
1985,Redskins,-40
1986,Oilers,14
1986,Broncos,39
1986,Vikings,34
1986,Bears,26
1986,Falcons,43
1986,Saints,-16
1986,Chargers,6
1986,Raiders,-11
1986,Lions,-25
1986,Browns,-24
1986,Eagles,-56
1986,Steelers,-65
1986,Giants,15
1986,Buccaneers,-33
1986,Cardinals,-33
1986,Bengals,10
1986,Chiefs,15
1986,Redskins,34
1986,Jets,-4
1986,Colts,-67
1986,Packers,-55
1986,Dolphins,-8
1986,Rams,26
1986,Bills,0
1986,49ers,30
1986,Patriots,37
1986,Cowboys,25
1986,Seahawks,43
1987,Oilers,0
1987,Broncos,23
1987,Vikings,20
1987,Bears,32
1987,Falcons,-37
1987,Saints,-3
1987,Chargers,-3
1987,Raiders,40
1987,Lions,-35
1987,Eagles,0
1987,Browns,17
1987,Steelers,-11
1987,Giants,-17
1987,Buccaneers,21
1987,Cardinals,7
1987,Bengals,1
1987,Chiefs,-22
1987,Seahawks,6
1987,Jets,22
1987,Colts,-15
1987,Packers,-20
1987,Redskins,9
1987,Rams,-9
1987,Bills,1
1987,49ers,-12
1987,Patriots,-12
1987,Cowboys,-9
1987,Dolphins,6
1988,Oilers,-36
1988,Broncos,17
1988,Vikings,51
1988,Bears,7
1988,Falcons,-5
1988,Saints,15
1988,Chargers,-31
1988,Raiders,3
1988,Lions,-1
1988,Eagles,16
1988,Browns,-11
1988,Steelers,-3
1988,Giants,6
1988,Buccaneers,-30
1988,Cardinals,-4
1988,Bengals,16
1988,Chiefs,-17
1988,Seahawks,17
1988,Jets,37
1988,Colts,-13
1988,Packers,-37
1988,Dolphins,-23
1988,Rams,39
1988,Bills,8
1988,49ers,-13
1988,Patriots,-7
1988,Cowboys,-2
1988,Redskins,1
1989,Oilers,-30
1989,Broncos,35
1989,Vikings,-13
1989,Bears,54
1989,Falcons,-8
1989,Saints,17
1989,Chargers,-18
1989,Raiders,14
1989,Lions,-33
1989,Browns,58
1989,Eagles,19
1989,Steelers,-69
1989,Giants,41
1989,Buccaneers,8
1989,Cardinals,-15
1989,Bengals,35
1989,Chiefs,-24
1989,Seahawks,-13
1989,Jets,-10
1989,Colts,-16
1989,Packers,-4
1989,Dolphins,4
1989,Rams,27
1989,Bills,-5
1989,49ers,20
1989,Patriots,-32
1989,Cowboys,-57
1989,Redskins,15
1990,Oilers,-17
1990,Raiders,26
1990,Vikings,23
1990,Bears,38
1990,Falcons,7
1990,Saints,-9
1990,Chargers,2
1990,Broncos,-1
1990,Lions,-13
1990,Browns,-3
1990,Eagles,-3
1990,Steelers,-16
1990,Giants,45
1990,Buccaneers,-1
1990,Cardinals,-50
1990,Bengals,44
1990,Chiefs,16
1990,Seahawks,-24
1990,Jets,-25
1990,Colts,-32
1990,Packers,-20
1990,Dolphins,9
1990,Rams,3
1990,Bills,16
1990,49ers,20
1990,Patriots,-35
1990,Cowboys,-22
1990,Redskins,22
1991,Oilers,63
1991,Broncos,34
1991,Vikings,0
1991,Bears,8
1991,Falcons,-9
1991,Saints,27
1991,Chargers,-29
1991,Raiders,-11
1991,Lions,-32
1991,Browns,9
1991,Eagles,25
1991,Steelers,2
1991,Giants,-7
1991,Buccaneers,-6
1991,Cardinals,-8
1991,Bengals,-55
1991,Chiefs,-6
1991,Redskins,81
1991,Jets,-7
1991,Colts,-36
1991,Packers,-24
1991,Dolphins,3
1991,Rams,-21
1991,Bills,25
1991,49ers,15
1991,Patriots,-25
1991,Cowboys,-14
1991,Seahawks,-2
1992,Oilers,8
1992,Broncos,-18
1992,Vikings,-5
1992,Bears,-32
1992,Falcons,-7
1992,Saints,23
1992,Chargers,-39
1992,Raiders,-19
1992,Lions,8
1992,Browns,-3
1992,Eagles,49
1992,Steelers,39
1992,Giants,-10
1992,Buccaneers,38
1992,Cardinals,-44
1992,Bengals,20
1992,Chiefs,30
1992,Seahawks,-33
1992,Jets,-37
1992,Colts,-37
1992,Packers,-30
1992,Redskins,-3
1992,Rams,-35
1992,Bills,74
1992,49ers,31
1992,Patriots,-18
1992,Cowboys,30
1992,Dolphins,20
1993,Oilers,17
1993,Broncos,15
1993,Vikings,-14
1993,Bears,-9
1993,Falcons,-27
1993,Saints,26
1993,Chargers,-10
1993,Raiders,18
1993,Lions,9
1993,Browns,26
1993,Eagles,12
1993,Steelers,-11
1993,Giants,32
1993,Buccaneers,-40
1993,Cardinals,-6
1993,Bengals,-43
1993,Chiefs,2
1993,Seahawks,-7
1993,Jets,4
1993,Colts,-1
1993,Packers,27
1993,Dolphins,-6
1993,Rams,-13
1993,Bills,27
1993,49ers,8
1993,Patriots,-30
1993,Cowboys,-15
1993,Redskins,9
1994,Oilers,-35
1994,Broncos,-38
1994,Vikings,29
1994,Bears,-24
1994,Falcons,-5
1994,Saints,-25
1994,Chargers,34
1994,Raiders,-27
1994,Lions,-1
1994,Browns,33
1994,Eagles,9
1994,Steelers,0
1994,Giants,16
1994,Buccaneers,0
1994,Cardinals,-37
1994,Bengals,-28
1994,Chiefs,40
1994,Seahawks,36
1994,Jets,9
1994,Colts,0
1994,Packers,-10
1994,Redskins,-15
1994,Rams,-31
1994,Bills,-9
1994,49ers,38
1994,Patriots,-4
1994,Cowboys,17
1994,Dolphins,28
1995,Oilers,-17
1995,Broncos,12
1995,Vikings,-13
1995,Bears,33
1995,Falcons,-25
1995,Saints,-9
1995,Chargers,0
1995,Raiders,16
1995,Lions,-16
1995,Eagles,-9
1995,Browns,20
1995,Steelers,7
1995,Giants,-46
1995,Buccaneers,-20
1995,Cardinals,-29
1995,Bengals,7
1995,Chiefs,33
1995,Jaguars,-31
1995,Redskins,1
1995,Jets,-24
1995,Colts,-6
1995,Packers,8
1995,Dolphins,68
1995,Rams,28
1995,Bills,13
1995,49ers,58
1995,Patriots,-39
1995,Cowboys,51
1995,Seahawks,-25
1995,Panthers,-46
1996,Oilers,22
1996,Broncos,39
1996,Vikings,16
1996,Bears,3
1996,Falcons,-29
1996,Saints,-33
1996,Chargers,3
1996,Raiders,-7
1996,Lions,4
1996,Eagles,-16
1996,Steelers,17
1996,Giants,-51
1996,Buccaneers,-50
1996,Cardinals,-66
1996,Bengals,-8
1996,Chiefs,35
1996,Jaguars,-6
1996,Seahawks,-50
1996,Jets,-48
1996,Ravens,-25
1996,Colts,22
1996,Packers,89
1996,Dolphins,51
1996,Rams,-24
1996,Bills,-8
1996,49ers,50
1996,Patriots,10
1996,Cowboys,10
1996,Panthers,25
1996,Redskins,25
1997,Oilers,0
1997,Broncos,58
1997,Vikings,10
1997,Bears,-42
1997,Falcons,-19
1997,Saints,-54
1997,Chargers,-39
1997,Raiders,1
1997,Lions,29
1997,Eagles,-14
1997,Steelers,-29
1997,Giants,-14
1997,Buccaneers,28
1997,Cardinals,-6
1997,Bengals,-10
1997,Chiefs,-9
1997,Jaguars,28
1997,Redskins,19
1997,Jets,29
1997,Ravens,13
1997,Colts,-59
1997,Packers,18
1997,Dolphins,4
1997,Rams,-10
1997,Bills,-21
1997,49ers,22
1997,Patriots,62
1997,Cowboys,28
1997,Seahawks,-31
1997,Panthers,8
1998,Oilers,-8
1998,Raiders,-34
1998,Vikings,54
1998,Bears,-18
1998,Falcons,10
1998,Saints,12
1998,Chargers,-8
1998,Broncos,42
1998,Lions,-48
1998,Eagles,-57
1998,Steelers,-9
1998,Giants,-20
1998,Buccaneers,-20
1998,Cardinals,-33
1998,Bengals,-10
1998,Chiefs,31
1998,Dolphins,36
1998,Jaguars,20
1998,Seahawks,67
1998,Jets,18
1998,Ravens,-7
1998,Colts,-70
1998,Packers,34
1998,Redskins,-52
1998,Rams,-13
1998,Bills,-9
1998,49ers,41
1998,Patriots,28
1998,Cowboys,33
1998,Panthers,-10
1999,Raiders,8
1999,Vikings,-5
1999,Bears,-5
1999,Falcons,-48
1999,Saints,2
1999,Chargers,19
1999,Broncos,-36
1999,Lions,6
1999,Browns,-67
1999,Eagles,-41
1999,Steelers,27
1999,Giants,-27
1999,Buccaneers,13
1999,Cardinals,-16
1999,Bengals,-52
1999,Chiefs,23
1999,Dolphins,20
1999,Jaguars,39
1999,Redskins,30
1999,Jets,-23
1999,Ravens,-13
1999,Colts,22
1999,Packers,-1
1999,Seahawks,12
1999,Titans,19
1999,Rams,45
1999,Bills,23
1999,49ers,-17
1999,Patriots,7
1999,Cowboys,23
1999,Panthers,13
2000,Raiders,1
2000,Vikings,17
2000,Bears,-51
2000,Falcons,-15
2000,Saints,-13
2000,Chargers,-36
2000,Broncos,32
2000,Lions,-12
2000,Browns,0
2000,Eagles,9
2000,Steelers,-19
2000,Giants,27
2000,Buccaneers,67
2000,Cardinals,-4
2000,Bengals,-30
2000,Chiefs,16
2000,Jaguars,30
2000,Seahawks,-16
2000,Jets,18
2000,Ravens,6
2000,Colts,6
2000,Packers,-10
2000,Dolphins,30
2000,Titans,0
2000,Rams,25
2000,Bills,-1
2000,49ers,-41
2000,Patriots,-14
2000,Cowboys,-22
2000,Panthers,8
2000,Redskins,-8
2001,Raiders,24
2001,Vikings,-14
2001,Bears,-4
